DASYLab - V 12.00.01
Worksheet name: RSG 400K RS232 - MASTER
Recording date     : 5/20/2014,  7:32:23 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 2
Measurement time[s]	Disp [in]	Load [lb]	
46.5	0.83410	28400	
46.5	0.83480	28600	
46.7	0.83560	28800	
46.8	0.83630	29000	
46.9	0.83730	29200	
47.0	0.83780	29400	
47.1	0.83880	29600	
47.2	0.83980	29700	
47.3	0.84060	30000	
47.4	0.84160	30100	
47.5	0.84230	30400	
47.6	0.84310	30500	
47.7	0.84410	30800	
47.8	0.84480	31000	
47.9	0.84560	31200	
48.0	0.84660	31400	
48.1	0.84730	31600	
48.2	0.84830	31800	
48.3	0.84910	32000	
48.4	0.84990	32200	
48.5	0.85090	32400	
48.6	0.85160	32800	
48.7	0.85260	33000	
48.8	0.85360	33200	
48.9	0.85440	33400	
49.0	0.85510	33600	
49.1	0.85610	33800	
49.2	0.85690	34000	
49.3	0.85790	34200	
49.4	0.85860	34400	
49.5	0.85940	34600	
49.6	0.86040	34800	
49.7	0.86110	35100	
49.8	0.86210	35200	
49.9	0.86310	35400	
50.0	0.86390	35600	
50.1	0.86490	35800	
50.2	0.86560	36000	
50.3	0.86660	36200	
50.4	0.86740	36400	
50.5	0.86840	36600	
50.6	0.86910	36800	
50.7	0.87010	37100	
50.8	0.87090	37200	
50.9	0.87160	37500	
51.0	0.87260	37700	
51.1	0.87340	37900	
51.2	0.87440	38100	
51.3	0.87510	38300	
51.4	0.87610	38500	
51.5	0.87690	38800	
51.6	0.87790	38900	
51.7	0.87860	39200	
51.8	0.87960	39300	
51.9	0.88040	39600	
52.0	0.88140	39800	
52.1	0.88210	40000	
52.2	0.88310	40200	
52.3	0.88390	40400	
52.4	0.88490	40600	
52.5	0.88560	40800	
52.6	0.88660	41000	
52.7	0.88760	41200	
52.8	0.88840	41400	
52.9	0.88940	41600	
53.0	0.89010	41800	
53.1	0.89110	42000	
53.2	0.89190	42300	
53.3	0.89290	42400	
53.4	0.89390	42700	
53.5	0.89460	42800	
53.6	0.89560	43100	
53.7	0.89640	43200	
53.8	0.89740	43500	
53.9	0.89810	43600	
54.0	0.89910	43900	
54.1	0.89990	44000	
54.2	0.90090	44300	
54.3	0.90170	44400	
54.4	0.90270	44700	
54.5	0.90340	44800	
54.6	0.90440	45000	
54.7	0.90520	45200	
54.8	0.90620	45400	
54.9	0.90720	45600	
55.0	0.90790	45800	
55.1	0.90890	46000	
55.2	0.90970	46200	
55.3	0.91070	46400	
55.4	0.91140	46600	
55.5	0.91220	46800	
55.6	0.91320	46900	
55.7	0.91420	47200	
55.8	0.91490	47300	
55.9	0.91590	47500	
56.0	0.91670	47600	
56.1	0.91770	47900	
56.2	0.91840	48000	
56.3	0.91940	48200	
56.4	0.92020	48400	
56.5	0.92120	48600	
56.6	0.92190	48800	
56.7	0.92290	48900	
56.8	0.92370	49200	
56.9	0.92470	49300	
57.0	0.92540	49500	
57.1	0.92640	49600	
57.2	0.92720	49800	
57.3	0.92820	50000	
57.4	0.92920	50200	
57.5	0.92990	50400	
57.6	0.93090	50500	
57.7	0.93170	50700	
57.8	0.93270	50800	
57.9	0.93340	51000	
58.0	0.93440	51200	
58.1	0.93540	51300	
58.2	0.93620	51500	
58.3	0.93690	51600	
58.4	0.93790	51800	
58.5	0.93870	52000	
58.6	0.93970	52100	
58.7	0.94040	52300	
58.8	0.94120	52400	
58.9	0.94220	52600	
59.0	0.94290	52700	
59.1	0.94370	52800	
59.2	0.94470	53000	
59.3	0.94540	53200	
59.4	0.94620	53300	
59.5	0.94720	53400	
59.6	0.94790	53600	
59.7	0.94870	53700	
59.8	0.94970	53900	
59.9	0.95050	54000	
60.0	0.95120	54100	
60.1	0.95220	54300	
60.2	0.95300	54400	
60.3	0.95370	54500	
60.4	0.95470	54700	
60.5	0.95550	54800	
60.6	0.95650	54900	
60.7	0.95720	55100	
60.8	0.95800	55200	
60.9	0.95900	55300	
61.0	0.95970	55500	
61.1	0.96050	55600	
